Statistical profiling result from naudodon-neo.log, (2136 ticks, 678 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    287   13.4%          /usr/lib/x86_64-linux-gnu/libc.so.6
     18    0.8%          /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
      1    0.0%          /home/hayden/n/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
     14    0.7%    0.8%  Builtin: LoadIC
     11    0.5%    0.6%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      8    0.4%    0.4%  Builtin: BaselineOutOfLinePrologue
      6    0.3%    0.3%  Builtin: StrictEqual_Baseline
      5    0.2%    0.3%  JS: ~toString node:buffer:811:46
      5    0.2%    0.3%  Builtin: KeyedLoadIC
      4    0.2%    0.2%  Builtin: KeyedLoadIC_PolymorphicName
      4    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      4    0.2%    0.2%  Builtin: CallFunction_ReceiverIsAny
      3    0.1%    0.2%  Builtin: RecordWriteSaveFP
      3    0.1%    0.2%  Builtin: KeyedLoadIC_Megamorphic
      3    0.1%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
      3    0.1%    0.2%  Builtin: CallApiCallbackGeneric
      2    0.1%    0.1%  JS: *noop node:internal/util/debuglog:46:14
      2    0.1%    0.1%  JS: *gA /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/index-971a6964.cjs:12:599
      2    0.1%    0.1%  Builtin: ToBooleanForBaselineJump
      2    0.1%    0.1%  Builtin: StoreIC
      2    0.1%    0.1%  Builtin: LessThan_Baseline
      2    0.1%    0.1%  Builtin: KeyedStoreIC
      2    0.1%    0.1%  Builtin: GetProperty
      2    0.1%    0.1%  Builtin: FastNewClosure
      2    0.1%    0.1%  Builtin: CreateShallowArrayLiteral
      2    0.1%    0.1%  Builtin: Construct
      2    0.1%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined
      2    0.1%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined
      2    0.1%    0.1%  Builtin: BitwiseAnd_Baseline
      2    0.1%    0.1%  Builtin: BaselineLeaveFrame
      1    0.0%    0.1%  JS: ~s file:///home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/get-tsconfig@4.7.3/node_modules/get-tsconfig/dist/index.mjs:3:3042
      1    0.0%    0.1%  JS: ~initAsyncResource node:internal/timers:155:27
      1    0.0%    0.1%  JS: ~gA /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/index-971a6964.cjs:12:599
      1    0.0%    0.1%  JS: ~<anonymous> /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/tsx@4.7.1/node_modules/tsx/dist/source-map.cjs:1:1
      1    0.0%    0.1%  JS: wasm-function[15]
      1    0.0%    0.1%  JS: ^pipeOnDrainFunctionResult node:internal/streams/readable:1068:44
      1    0.0%    0.1%  JS: ^onwrite node:internal/streams/writable:607:17
      1    0.0%    0.1%  JS: ^isIP node:internal/net:45:14
      1    0.0%    0.1%  JS: ^doRead /home/hayden/Projects/udp-mesh-stream-demo/node_modules/.pnpm/naudiodon-neo@2.4.1/node_modules/naudiodon-neo/index.js:35:18
      1    0.0%    0.1%  JS: ^anonymous0 :7:25
      1    0.0%    0.1%  JS: ^Readable.read node:internal/streams/readable:645:35
      1    0.0%    0.1%  JS: ^C node:internal/deps/cjs-module-lexer/dist/lexer:1:1152
      1    0.0%    0.1%  JS: *wrappedFn node:internal/errors:536:21
      1    0.0%    0.1%  JS: *wasm-function[19]
      1    0.0%    0.1%  JS: *normalizeString node:path:66:25
      1    0.0%    0.1%  Builtin: StringIndexOf
      1    0.0%    0.1%  Builtin: StoreFastElementIC_Standard
      1    0.0%    0.1%  Builtin: StoreFastElementIC_GrowNoTransitionHandleCOW
      1    0.0%    0.1%  Builtin: ResumeGeneratorTrampoline
      1    0.0%    0.1%  Builtin: RegExpPrototypeTest
      1    0.0%    0.1%  Builtin: LoadGlobalIC
      1    0.0%    0.1%  Builtin: LessThanOrEqual_Baseline
      1    0.0%    0.1%  Builtin: KeyedLoadICBaseline
      1    0.0%    0.1%  Builtin: JSConstructStubGeneric
      1    0.0%    0.1%  Builtin: InterpreterEntryTrampoline
      1    0.0%    0.1%  Builtin: InstanceOf_Baseline
      1    0.0%    0.1%  Builtin: FindOrderedHashMapEntry
      1    0.0%    0.1%  Builtin: FastNewFunctionContextFunction
      1    0.0%    0.1%  Builtin: CreateTypedArray
      1    0.0%    0.1%  Builtin: Construct_Baseline
      1    0.0%    0.1%  Builtin: CompileLazy
      1    0.0%    0.1%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
      1    0.0%    0.1%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      1    0.0%    0.1%  Builtin: CallFunctionTemplate_Generic
