Statistical profiling result from isolate-0x62c1c10-1212167-v8.log, (147190 ticks, 30279 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   5891    4.0%          /usr/lib/x86_64-linux-gnu/libc.so.6
    780    0.5%          [vdso]
     54    0.0%          /home/hayden/n/bin/node
     19    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.32

 [JavaScript]:
   ticks  total  nonlib   name
   1015    0.7%    0.7%  Builtin: LoadIC
   1013    0.7%    0.7%  JS: *processTicksAndRejections node:internal/process/task_queues:67:35
    630    0.4%    0.4%  Builtin: CreateTypedArray
    583    0.4%    0.4%  JS: *Socket.send node:dgram:577:33
    433    0.3%    0.3%  JS: *fromList node:internal/streams/readable:1580:18
    319    0.2%    0.2%  JS: *doSend node:dgram:678:16
    293    0.2%    0.2%  RegExp: ^(?:(?:25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])\.){3}(?:25[0-5]|2[0-4][0-9]|1[0-9][0-9]|[1-9][0-9]|[0-9])$
    260    0.2%    0.2%  JS: *lookup node:dns:140:16
    209    0.1%    0.1%  JS: *<anonymous> file:///home/hayden/Projects/udp-mesh-stream-demo/src/index.ts:1:1254
    203    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
    190    0.1%    0.1%  JS: *toJSON node:buffer:1117:42
    182    0.1%    0.1%  JS: *from node:buffer:292:28
    180    0.1%    0.1%  JS: *Readable.read node:internal/streams/readable:645:35
    166    0.1%    0.1%  JS: *fromString node:buffer:460:20
    161    0.1%    0.1%  Builtin: Call_ReceiverIsAny
    149    0.1%    0.1%  Builtin: RegExpPrototypeTestFast
    144    0.1%    0.1%  Builtin: CallApiCallbackOptimizedNoProfiling
    143    0.1%    0.1%  Builtin: RecordWriteSaveFP
    117    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
    102    0.1%    0.1%  JS: *push node:internal/fixed_queue:99:7
     69    0.0%    0.0%  Builtin: ArrayIncludes
     66    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
     65    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_BuiltinExit
     62    0.0%    0.0%  JS: *wrappedFn node:internal/errors:536:21
     50    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
     47    0.0%    0.0%  Builtin: LoadICTrampoline
     47    0.0%    0.0%  Builtin: ArrayIncludesSmi
     35    0.0%    0.0%  JS: *howMuchToRead node:internal/streams/readable:628:23
